Date,CHC
5/29/2019 16:00:00,10.48
5/30/2019 16:00:00,10.26
5/31/2019 16:00:00,10.34
6/03/2019 16:00,10.41
6/04/2019 16:00,10.55
6/05/2019 16:00,10.43
6/06/2019 16:00,10.96
6/07/2019 16:00,10.94
6/11/2019 16:00,11.17
6/12/2019 16:00,11.08
6/13/2019 16:00:00,11.27
6/14/2019 16:00:00,11.52
6/17/2019 16:00:00,11.34
6/18/2019 16:00:00,11.43
6/19/2019 16:00:00,11.12
6/20/2019 16:00:00,11.2
6/21/2019 16:00:00,11.11
6/24/2019 16:00:00,11.2
6/25/2019 16:00:00,11.4
6/26/2019 16:00:00,11.29
6/27/2019 16:00:00,11.01
6/28/2019 16:00:00,10.83
7/01/2019 16:00,10.98
7/02/2019 16:00,11.1
7/03/2019 16:00,11.37
7/04/2019 16:00,11.4
7/05/2019 16:00,11.52
7/08/2019 16:00,11.27
7/09/2019 16:00,11.39
7/10/2019 16:00,11.46
7/11/2019 16:00,11.75
7/12/2019 16:00,11.7
7/15/2019 16:00:00,11.53
7/16/2019 16:00:00,11.67
7/17/2019 16:00:00,11.66
7/18/2019 16:00:00,11.68
7/19/2019 16:00:00,11.58
7/22/2019 16:00:00,11.5
7/23/2019 16:00:00,11.81
7/24/2019 16:00:00,11.76
7/25/2019 16:00:00,11.62
7/26/2019 16:00:00,11.6
7/29/2019 16:00:00,11.53
7/30/2019 16:00:00,11.51
7/31/2019 16:00:00,11.32
8/01/2019 16:00,11.49
8/02/2019 16:00,11.81
8/05/2019 16:00,11.68
8/06/2019 16:00,11.14
8/07/2019 16:00,11.48
8/08/2019 16:00,11.68
8/09/2019 16:00,11.85
8/12/2019 16:00,11.85
8/13/2019 16:00:00,11.86
8/14/2019 16:00:00,12.08
8/15/2019 16:00:00,11.81
8/16/2019 16:00:00,11.98
8/19/2019 16:00:00,12.02
8/20/2019 16:00:00,12.4
8/21/2019 16:00:00,12.35
8/22/2019 16:00:00,12.37
8/23/2019 16:00:00,12.49
8/26/2019 16:00:00,12.54
8/27/2019 16:00:00,12.56
8/28/2019 16:00:00,12.54
8/29/2019 16:00:00,12.54
8/30/2019 16:00:00,12.65
9/02/2019 16:00,12.61
9/03/2019 16:00,12.79
9/04/2019 16:00,12.73
9/05/2019 16:00,12.81
9/06/2019 16:00,12.08
9/09/2019 16:00,12.01
9/10/2019 16:00,11.85
9/11/2019 16:00,11.18
9/12/2019 16:00,11.13
9/13/2019 16:00:00,11.05
9/16/2019 16:00:00,11.06
9/17/2019 16:00:00,11.55
9/18/2019 16:00:00,11.38
9/19/2019 16:00:00,11.47
9/20/2019 16:00:00,11.45
9/23/2019 16:00:00,11.46
9/24/2019 16:00:00,11.53
9/25/2019 16:00:00,11.64
9/26/2019 16:00:00,11.6
9/27/2019 16:00:00,11.58
9/30/2019 16:00:00,11.65
10/01/2019 16:00,11.9
10/02/2019 16:00,11.65
10/03/2019 16:00,11.49
10/04/2019 16:00,11.66
10/07/2019 16:00,11.91
10/08/2019 16:00,11.91
10/09/2019 16:00,11.97
10/10/2019 16:00,11.65
10/11/2019 16:00,11.49
10/14/2019 16:00:00,11.66
10/15/2019 16:00:00,11.77
10/16/2019 16:00:00,11.96
10/17/2019 16:00:00,11.9
10/18/2019 16:00:00,11.84
10/21/2019 16:00:00,12.02
10/22/2019 16:00:00,11.77
10/23/2019 16:00:00,11.75
10/24/2019 16:00:00,11.68
10/25/2019 16:00:00,11.71
10/28/2019 16:00:00,11.42
10/29/2019 16:00:00,11.4
10/30/2019 16:00:00,11.28
10/31/2019 16:00:00,11.3
11/01/2019 16:00,11.34
11/04/2019 16:00,11.38
11/05/2019 16:00,11.2
11/06/2019 16:00,11.02
11/07/2019 16:00,11.24
11/08/2019 16:00,10.64
11/11/2019 16:00,10.78
11/12/2019 16:00,10.75
11/13/2019 16:00:00,10.68
11/14/2019 16:00:00,10.7
11/15/2019 16:00:00,10.87
11/18/2019 16:00:00,10.79
11/19/2019 16:00:00,10.89
11/20/2019 16:00:00,10.66
11/21/2019 16:00:00,10.61
11/22/2019 16:00:00,10.66
11/25/2019 16:00:00,10.69
11/26/2019 16:00:00,10.81
11/27/2019 16:00:00,10.91
11/28/2019 16:00:00,10.89
11/29/2019 16:00:00,10.81
12/02/2019 16:00,10.87
12/03/2019 16:00,10.55
12/04/2019 16:00,10.46
12/05/2019 16:00,10.36
12/06/2019 16:00,10.57
12/09/2019 16:00,10.5
12/10/2019 16:00,10.51
12/11/2019 16:00,10.5
12/12/2019 16:00,10.99
12/13/2019 16:00:00,11.1
12/16/2019 16:00:00,11.52
12/17/2019 16:00:00,11.31
12/18/2019 16:00:00,11.35
12/19/2019 16:00:00,11.35
12/20/2019 16:00:00,11.4
12/23/2019 16:00:00,11.49
12/24/2019 14:10:00,11.52
12/27/2019 16:00:00,11.5
12/30/2019 16:00:00,11.45
12/31/2019 14:10:00,11.08
1/02/2020 16:00,11.14
1/03/2020 16:00,11.16
1/06/2020 16:00,11.26
1/07/2020 16:00,11.72
1/08/2020 16:00,11.61
1/09/2020 16:00,11.9
1/10/2020 16:00,11.89
1/13/2020 16:00:00,12.05
1/14/2020 16:00:00,12.4
1/15/2020 16:00:00,12.39
1/16/2020 16:00:00,12.55
1/17/2020 16:00:00,12.7
1/20/2020 16:00:00,12.76
1/21/2020 16:00:00,12.71
1/22/2020 16:00:00,12.75
1/23/2020 16:00:00,12.7
1/24/2020 16:00:00,12.62
1/28/2020 16:00:00,12.49
1/29/2020 16:00:00,12.51
1/30/2020 16:00:00,12.67
1/31/2020 16:00:00,12.86
2/03/2020 16:00,12.77
2/04/2020 16:00,12.79
2/05/2020 16:00,12.76
2/06/2020 16:00,12.7
2/07/2020 16:00,12.75
2/10/2020 16:00,12.79
2/11/2020 16:00,12.71
2/12/2020 16:00,12.8
2/13/2020 16:00:00,12.89
2/14/2020 16:00:00,12.99
2/17/2020 16:00:00,13
2/18/2020 16:00:00,13.11
2/19/2020 16:00:00,14.03
2/20/2020 16:00:00,13.9
2/21/2020 16:00:00,13.87
2/24/2020 16:00:00,13.77
2/25/2020 16:00:00,13.5
2/26/2020 16:00:00,13.04
2/27/2020 16:00:00,12.97
2/28/2020 16:00:00,12.48
3/02/2020 16:00,12.18
3/03/2020 16:00,12.22
3/04/2020 16:00,12.01
3/05/2020 16:00,12.19
3/06/2020 16:00,11.9
3/09/2020 16:00,11.22
3/10/2020 16:00,10.8
3/11/2020 16:00,10.27
3/12/2020 16:00,9.83
3/13/2020 16:00:00,9.69
3/16/2020 16:00:00,8.5
3/17/2020 16:00:00,7.68
3/18/2020 16:00:00,7.04
3/19/2020 16:00:00,6.41
3/20/2020 16:00:00,7.17
3/23/2020 16:00:00,5.29
3/24/2020 16:00:00,5.61
3/25/2020 16:00:00,6.05
3/26/2020 16:00:00,6.35
3/27/2020 16:00:00,6.36
3/30/2020 16:00:00,6.58
3/31/2020 16:00:00,6.86
4/01/2020 16:00,7.2
4/02/2020 16:00,7.36
4/03/2020 16:00,7.05
4/06/2020 16:00,7.37
4/07/2020 16:00,7.35
4/08/2020 16:00,7.39
4/09/2020 16:00,7.88
4/14/2020 16:00:00,7.42
4/15/2020 16:00:00,7.71
4/16/2020 16:00:00,7.25
4/17/2020 16:00:00,7.75
4/20/2020 16:00:00,7.43
4/21/2020 16:00:00,7.01
4/22/2020 16:00:00,7.22
4/23/2020 16:00:00,7.24
4/24/2020 16:00:00,6.99
4/27/2020 16:00:00,7.32
4/28/2020 16:00:00,7.03
4/29/2020 16:00:00,7.17
4/30/2020 16:00:00,7.65
5/01/2020 16:00,7.08
5/04/2020 16:00,7.15
5/05/2020 16:00,7.31
5/06/2020 16:00,7.21
5/07/2020 16:00,7.32
5/08/2020 16:00,7.43
5/11/2020 16:00,7.71
5/12/2020 16:00,7.6
5/13/2020 16:00:00,7.3
5/14/2020 16:00:00,7.61
5/15/2020 16:00:00,7.9
5/18/2020 16:00:00,8.1
5/19/2020 16:00:00,8.35
5/20/2020 16:00:00,8.55
5/21/2020 16:00:00,8.65
5/22/2020 16:00:00,8.64
5/25/2020 16:00:00,9.05
5/26/2020 16:00:00,9.5
5/27/2020 16:00:00,9.51
5/28/2020 16:00:00,9.62
5/29/2020 16:00:00,9.69
6/01/2020 16:00,9.75
6/02/2020 16:00,9.63
6/03/2020 16:00,9.81
6/04/2020 16:00,9.64
6/05/2020 16:00,9.63
6/09/2020 16:00,10.35
6/10/2020 16:00,10.04
6/11/2020 16:00,9.65
6/12/2020 16:00,9.63
6/15/2020 16:00:00,9.46
6/16/2020 16:00:00,9.84
6/17/2020 16:00:00,10.07
6/18/2020 16:00:00,9.97
6/19/2020 16:00:00,10.1
6/22/2020 16:00:00,9.96
6/23/2020 16:00:00,10.09
6/24/2020 16:00:00,10.08
6/25/2020 16:00:00,9.75
6/26/2020 16:00:00,9.88
6/29/2020 16:00:00,9.43
6/30/2020 16:00:00,9.69
7/01/2020 16:00,9.9
7/02/2020 16:00,10.33
7/03/2020 16:00,10.22
7/06/2020 16:00,10.23
7/07/2020 16:00,9.9
7/08/2020 16:00,9.51
7/09/2020 16:00,9.44
7/10/2020 16:00,9.52
7/13/2020 16:00:00,9.6
7/14/2020 16:00:00,9.58
7/15/2020 16:00:00,10
7/16/2020 16:00:00,9.8
7/17/2020 16:00:00,9.82
7/20/2020 16:00:00,9.82
7/21/2020 16:00:00,10.26
7/22/2020 16:00:00,9.93
7/23/2020 16:00:00,10.37
7/24/2020 16:00:00,10.06
7/27/2020 16:00:00,10.21
7/28/2020 16:00:00,10.25
7/29/2020 16:00:00,10.35
7/30/2020 16:00:00,10.5
7/31/2020 16:00:00,10.52
8/03/2020 16:00,10.53
8/04/2020 16:00,10.77
8/05/2020 16:00,10.82
8/06/2020 16:00,10.91
8/07/2020 16:00,10.88
8/10/2020 16:00,11.08
8/11/2020 16:00,11.21
8/12/2020 16:00,11.15
8/13/2020 16:00:00,11.2
8/14/2020 16:00:00,11.16
8/17/2020 16:00:00,11.25
8/18/2020 16:00:00,11.2
8/19/2020 16:00:00,11.25
8/20/2020 16:00:00,12
8/21/2020 16:00:00,12.29
8/24/2020 16:00:00,12.26
8/25/2020 16:00:00,12.64
8/26/2020 16:00:00,12.62
8/27/2020 16:00:00,12.63
8/28/2020 16:00:00,12.49
8/31/2020 16:00:00,12.51
9/01/2020 16:00,12.29
9/02/2020 16:00,12.72
9/03/2020 16:00,13
9/04/2020 16:00,12.51
9/07/2020 16:00,12.31
9/08/2020 16:00,12.52
9/09/2020 16:00,12.41
9/10/2020 16:00,12.42
9/11/2020 16:00,12.4
9/14/2020 16:00:00,12.32
9/15/2020 16:00:00,12.38
9/16/2020 16:00:00,12.83
9/17/2020 16:00:00,12.71
