Date,APA
9/23/2019 16:00:00,11.57
9/24/2019 16:00:00,11.67
9/25/2019 16:00:00,11.63
9/26/2019 16:00:00,11.48
9/27/2019 16:00:00,11.57
9/30/2019 16:00:00,11.46
10/01/2019 16:00,11.45
10/02/2019 16:00,11.19
10/03/2019 16:00,11.09
10/04/2019 16:00,11.1
10/07/2019 16:00,11.24
10/08/2019 16:00,11.34
10/09/2019 16:00,11.29
10/10/2019 16:00,11.25
10/11/2019 16:00,11.33
10/14/2019 16:00:00,11.21
10/15/2019 16:00:00,11.35
10/16/2019 16:00:00,11.42
10/17/2019 16:00:00,11.39
10/18/2019 16:00:00,11.36
10/21/2019 16:00:00,11.31
10/22/2019 16:00:00,11.33
10/23/2019 16:00:00,11.38
10/24/2019 16:00:00,11.53
10/25/2019 16:00:00,11.67
10/28/2019 16:00:00,11.73
10/29/2019 16:00:00,11.61
10/30/2019 16:00:00,11.6
10/31/2019 16:00:00,11.65
11/01/2019 16:00,11.63
11/04/2019 16:00,11.56
11/05/2019 16:00,11.55
11/06/2019 16:00,11.28
11/07/2019 16:00,11.38
11/08/2019 16:00,11.14
11/11/2019 16:00,11.16
11/12/2019 16:00,11.1
11/13/2019 16:00:00,10.85
11/14/2019 16:00:00,11.07
11/15/2019 16:00:00,11.15
11/18/2019 16:00:00,11.06
11/19/2019 16:00:00,11.09
11/20/2019 16:00:00,10.77
11/21/2019 16:00:00,10.71
11/22/2019 16:00:00,10.83
11/25/2019 16:00:00,10.9
11/26/2019 16:00:00,10.98
11/27/2019 16:00:00,11.22
11/28/2019 16:00:00,11.2
11/29/2019 16:00:00,11
12/02/2019 16:00,11.28
12/03/2019 16:00,10.92
12/04/2019 16:00,10.73
12/05/2019 16:00,10.84
12/06/2019 16:00,10.73
12/09/2019 16:00,10.93
12/10/2019 16:00,10.86
12/11/2019 16:00,11.09
12/12/2019 16:00,11
12/13/2019 16:00:00,10.82
12/16/2019 16:00:00,11.36
12/17/2019 16:00:00,11.27
12/18/2019 16:00:00,11.48
12/19/2019 16:00:00,11.58
12/20/2019 16:00:00,11.7
12/23/2019 16:00:00,11.6
12/24/2019 14:10:00,11.56
12/27/2019 16:00:00,11.61
12/30/2019 16:00:00,11.39
12/31/2019 14:10:00,11.1
1/02/2020 16:00,11.06
1/03/2020 16:00,11.06
1/06/2020 16:00,11.12
1/07/2020 16:00,11.24
1/08/2020 16:00,11.3
1/09/2020 16:00,11.43
1/10/2020 16:00,11.39
1/13/2020 16:00:00,11.34
1/14/2020 16:00:00,11.62
1/15/2020 16:00:00,11.7
1/16/2020 16:00:00,11.56
1/17/2020 16:00:00,11.43
1/20/2020 16:00:00,11.43
1/21/2020 16:00:00,11.39
1/22/2020 16:00:00,11.48
1/23/2020 16:00:00,11.46
1/24/2020 16:00:00,11.37
1/28/2020 16:00:00,11.43
1/29/2020 16:00:00,11.43
1/30/2020 16:00:00,11.41
1/31/2020 16:00:00,11.33
2/03/2020 16:00,11.43
2/04/2020 16:00,11.36
2/05/2020 16:00,11.3
2/06/2020 16:00,11.22
2/07/2020 16:00,11.29
2/10/2020 16:00,11.37
2/11/2020 16:00,11.52
2/12/2020 16:00,11.36
2/13/2020 16:00:00,11.46
2/14/2020 16:00:00,11.47
2/17/2020 16:00:00,11.39
2/18/2020 16:00:00,11.4
2/19/2020 16:00:00,11.36
2/20/2020 16:00:00,11.43
2/21/2020 16:00:00,11.34
2/24/2020 16:00:00,11.15
2/25/2020 16:00:00,10.99
2/26/2020 16:00:00,10.82
2/27/2020 16:00:00,10.85
2/28/2020 16:00:00,10.74
3/02/2020 16:00,10.78
3/03/2020 16:00,11.04
3/04/2020 16:00,11.09
3/05/2020 16:00,11.26
3/06/2020 16:00,11.23
3/09/2020 16:00,11
3/10/2020 16:00,10.96
3/11/2020 16:00,10.32
3/12/2020 16:00,9.72
3/13/2020 16:00:00,9.65
3/16/2020 16:00:00,8.36
3/17/2020 16:00:00,8.78
3/18/2020 16:00:00,9.15
3/19/2020 16:00:00,9.83
3/20/2020 16:00:00,9.67
3/23/2020 16:00:00,9.16
3/24/2020 16:00:00,9.3
3/25/2020 16:00:00,9.41
3/26/2020 16:00:00,9.73
3/27/2020 16:00:00,9.73
3/30/2020 16:00:00,10.41
3/31/2020 16:00:00,10.26
4/01/2020 16:00,10.51
4/02/2020 16:00,10.38
4/03/2020 16:00,10.12
4/06/2020 16:00,10.7
4/07/2020 16:00,10.24
4/08/2020 16:00,10.28
4/09/2020 16:00,10.97
4/14/2020 16:00:00,11.4
4/15/2020 16:00:00,11.3
4/16/2020 16:00:00,11.17
4/17/2020 16:00:00,11.18
4/20/2020 16:00:00,10.88
4/21/2020 16:00:00,10.84
4/22/2020 16:00:00,10.91
4/23/2020 16:00:00,10.92
4/24/2020 16:00:00,11
4/27/2020 16:00:00,11.33
4/28/2020 16:00:00,11.22
4/29/2020 16:00:00,11.16
4/30/2020 16:00:00,10.92
5/01/2020 16:00,10.7
5/04/2020 16:00,11.08
5/05/2020 16:00,11.24
5/06/2020 16:00,11.31
5/07/2020 16:00,11.11
5/08/2020 16:00,11.26
5/11/2020 16:00,11.6
5/12/2020 16:00,11.28
5/13/2020 16:00:00,11.2
5/14/2020 16:00:00,11.2
