Date,AAPL
3/19/2019 16:00:00,46.63
3/20/2019 16:00:00,47.04
3/21/2019 16:00:00,48.77
3/22/2019 16:00:00,47.76
3/25/2019 16:00:00,47.19
3/26/2019 16:00:00,46.7
3/27/2019 16:00:00,47.12
3/28/2019 16:00:00,47.18
3/29/2019 16:00:00,47.49
4/01/2019 16:00,47.81
4/02/2019 16:00,48.51
4/03/2019 16:00,48.84
4/04/2019 16:00,48.92
4/05/2019 16:00,49.25
4/08/2019 16:00,50.03
4/09/2019 16:00,49.88
4/10/2019 16:00,50.16
4/11/2019 16:00,49.74
4/12/2019 16:00,49.72
4/15/2019 16:00:00,49.81
4/16/2019 16:00:00,49.81
4/17/2019 16:00:00,50.78
4/18/2019 16:00:00,50.97
4/22/2019 16:00:00,51.13
4/23/2019 16:00:00,51.87
4/24/2019 16:00:00,51.79
4/25/2019 16:00:00,51.32
4/26/2019 16:00:00,51.08
4/29/2019 16:00:00,51.15
4/30/2019 16:00:00,50.17
5/01/2019 16:00,52.63
5/02/2019 16:00,52.29
5/03/2019 16:00,52.94
5/06/2019 16:00,52.12
5/07/2019 16:00,50.72
5/08/2019 16:00,50.73
5/09/2019 16:00,50.18
5/10/2019 16:00,49.3
5/13/2019 16:00:00,46.43
5/14/2019 16:00:00,47.17
5/15/2019 16:00:00,47.73
5/16/2019 16:00:00,47.52
5/17/2019 16:00:00,47.25
5/20/2019 16:00:00,45.77
5/21/2019 16:00:00,46.65
5/22/2019 16:00:00,45.7
5/23/2019 16:00:00,44.92
5/24/2019 16:00:00,44.74
5/28/2019 16:00:00,44.56
5/29/2019 16:00:00,44.35
5/30/2019 16:00:00,44.58
5/31/2019 16:00:00,43.77
6/03/2019 16:00,43.33
6/04/2019 16:00,44.91
6/05/2019 16:00,45.64
6/06/2019 16:00,46.31
6/07/2019 16:00,47.54
6/10/2019 16:00,48.15
6/11/2019 16:00,48.7
6/12/2019 16:00,48.55
6/13/2019 16:00:00,48.54
6/14/2019 16:00:00,48.19
6/17/2019 16:00:00,48.47
6/18/2019 16:00:00,49.61
6/19/2019 16:00:00,49.47
6/20/2019 16:00:00,49.87
6/21/2019 16:00:00,49.7
6/24/2019 16:00:00,49.65
6/25/2019 16:00:00,48.89
6/26/2019 16:00:00,49.95
6/27/2019 16:00:00,49.94
6/28/2019 16:00:00,49.48
7/01/2019 16:00,50.39
7/02/2019 16:00,50.68
7/03/2019 13:00,51.1
7/05/2019 16:00,51.06
7/08/2019 16:00,50.01
7/09/2019 16:00,50.31
7/10/2019 16:00,50.81
7/11/2019 16:00,50.44
7/12/2019 16:00,50.83
7/15/2019 16:00:00,51.3
7/16/2019 16:00:00,51.13
7/17/2019 16:00:00,50.84
7/18/2019 16:00:00,51.42
7/19/2019 16:00:00,50.65
7/22/2019 16:00:00,51.81
7/23/2019 16:00:00,52.21
7/24/2019 16:00:00,52.17
7/25/2019 16:00:00,51.76
7/26/2019 16:00:00,51.94
7/29/2019 16:00:00,52.42
7/30/2019 16:00:00,52.2
7/31/2019 16:00:00,53.26
8/01/2019 16:00,52.11
8/02/2019 16:00,51.01
8/05/2019 16:00,48.34
8/06/2019 16:00,49.25
8/07/2019 16:00,49.76
8/08/2019 16:00,50.86
8/09/2019 16:00,50.25
8/12/2019 16:00,50.12
8/13/2019 16:00:00,52.24
8/14/2019 16:00:00,50.69
8/15/2019 16:00:00,50.44
8/16/2019 16:00:00,51.63
