Date,ACDC
11/20/2019 16:00:00,50.3
11/21/2019 16:00:00,49.93
11/22/2019 16:00:00,50.31
11/25/2019 16:00:00,50.4
11/26/2019 16:00:00,51.37
11/27/2019 16:00:00,51.19
11/28/2019 16:00:00,50.98
12/02/2019 16:00,51.13
12/03/2019 16:00,50.45
12/04/2019 16:00,50.19
12/05/2019 16:00,50.15
12/06/2019 16:00,50.34
12/10/2019 16:00,50.96
12/11/2019 16:00,51
12/12/2019 16:00,51.09
12/13/2019 16:00:00,51.46
12/16/2019 16:00:00,51.8
12/17/2019 16:00:00,51.94
12/18/2019 16:00:00,52.06
12/19/2019 16:00:00,52.12
12/20/2019 16:00:00,52.03
12/23/2019 16:00:00,51.67
12/24/2019 14:10:00,51.66
12/27/2019 16:00:00,51.94
12/30/2019 16:00:00,51.62
1/02/2020 16:00,51.92
1/03/2020 16:00,52.22
1/06/2020 16:00,52.26
1/07/2020 16:00,52.88
1/08/2020 16:00,52.79
1/09/2020 16:00,53.53
1/10/2020 16:00,53.87
1/13/2020 16:00:00,53.91
1/14/2020 16:00:00,55.33
1/15/2020 16:00:00,54.69
1/16/2020 16:00:00,54.6
1/17/2020 16:00:00,54.8
1/20/2020 16:00:00,55.21
1/21/2020 16:00:00,54.89
1/22/2020 16:00:00,55.62
1/23/2020 16:00:00,55.17
1/28/2020 16:00:00,54.22
1/29/2020 16:00:00,54.69
1/31/2020 16:00:00,54.87
2/03/2020 16:00,54.87
2/04/2020 16:00,56.35
2/05/2020 16:00,57.78
2/06/2020 16:00,57.7
2/07/2020 16:00,57.32
2/10/2020 16:00,57.1
2/11/2020 16:00,57.65
2/12/2020 16:00,57.62
2/13/2020 16:00:00,57.7
2/14/2020 16:00:00,57.4
2/17/2020 16:00:00,57
2/18/2020 16:00:00,56.7
2/19/2020 16:00:00,57.28
2/20/2020 16:00:00,57.63
2/21/2020 16:00:00,58.07
2/24/2020 16:00:00,56.2
2/25/2020 16:00:00,55.68
2/26/2020 16:00:00,54.78
2/27/2020 16:00:00,53.64
2/28/2020 16:00:00,51.37
3/02/2020 16:00,52.8
3/03/2020 16:00,53.3
3/04/2020 16:00,52.92
3/05/2020 16:00,53.1
3/06/2020 16:00,51.76
3/09/2020 16:00,49.49
3/10/2020 16:00,48.86
3/11/2020 16:00,48.76
3/12/2020 16:00,46.3
3/13/2020 16:00:00,44.64
3/16/2020 16:00:00,44.6
3/17/2020 16:00:00,44.1
3/18/2020 16:00:00,43.73
3/19/2020 16:00:00,42.8
3/20/2020 16:00:00,43.54
3/23/2020 16:00:00,42.26
3/24/2020 16:00:00,43.4
